Issuer Name;Ticker;Cpn;Maturity;Series;BBG Composite;Mty Type;Currency;Yld to Mty (Bid);Ask Convexity;Bid Convexity;Next Cpn Dt;Mty (Years Frm Tdy);1st Cpn Pd Typ;Coupon Type
Banco Davivienda SA;DAVIVI;18.34625;10/11/2025;C120;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;10/05/2023;2.53798768;Normal;FLOATING
Codensa SA ESP;CODENS;18.78032;15/11/2025;B12;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;15/05/2023;2.551676934;Normal;FLOATING
Promigas SA ESP;PROMIG;15.03935;19/11/2025;A5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;19/05/2023;2.562628337;Normal;FLOATING
Colombian TES;COLTES;6.25;26/11/2025;B;BB+;AT MATURITY;COP;11.25035631;0.068110468;0.067969447;26/11/2023;2.581793292;Normal;FIXED
Colombia Government International Bond;COLOM;6.25;26/11/2025;REGS;#N/A N/A;AT MATURITY;COP;11.1725812;0.068154814;0.068071412;26/11/2023;2.581793292;Normal;FIXED
Colombia Government International Bond;COLOM;6.25;26/11/2025;144a;NR;AT MATURITY;COP;11.1725812;0.068154814;0.068071412;26/11/2023;2.581793292;Normal;FIXED
Interconexion Electrica SA ESP;ISACB;6.99;28/11/2025;A8;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;31/05/2023;2.587268994;Normal;FIXED
Barranquilla Distrito Especial Industrial y Portuario;DIBACO;15.616925;3/12/2025;B5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;3/06/2023;2.600958248;Normal;FLOATING
Celsia SA ESP;CELSIA;19.007;11/12/2025;D12;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;11/06/2023;2.622861054;Normal;FLOATING
Corp Primax Colombia;CPRMCO;15.636224;16/12/2025;B5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;16/06/2023;2.636550308;Normal;FLOATING
Instituto Colombiano de Credito Educativo y Estudios Tecnicos en el Exterior;ICCEE;15.511616;17/12/2025;C5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;17/06/2023;2.639288159;Normal;FLOATING
UNE EPM Telecomunicaciones SA;UNEEPM;22.52054;5/01/2026;C36;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;5/07/2023;2.691307324;Normal;FLOATING
